iata_code,name,type,iso_country,municipality,latitude,longitude
YHS,Sechelt-Gibsons Airport,small_airport,CA,Sechelt,49.460601806599996, -123.71900177
YKK,Kitkatla Seaplane Base,seaplane_base,CA,Kitkatla,53.7999992371, -130.432998657
ZQS,Queen Charlotte City Seaplane Base,seaplane_base,CA,,53.25282, -132.074214
WPL,Powell Lake Seaplane Base,seaplane_base,CA,,49.8833007812, -124.532997131
XQU,Qualicum Beach Airport,small_airport,CA,Qualicum Beach,49.3372, -124.393997
YMP,Port McNeill Airport,small_airport,CA,Port McNeill,50.5756, -127.028999
YRN,Rivers Inlet Seaplane Base,seaplane_base,CA,Rivers Inlet,51.683985, -127.264044
YTG,Sullivan Bay Seaplane Base,seaplane_base,CA,Sullivan Bay,50.885359, -126.831069
YMU,Mansons Landing Seaplane Base,seaplane_base,CA,,50.07137, -124.98362
YSX,Bella Bella/Shearwater Seaplane Base,seaplane_base,CA,Bella Bella,52.150002, -128.08299
YGG,Ganges Seaplane Base,seaplane_base,CA,Salt Spring Island,48.8545, -123.4969
YTB,Hartley Bay Seaplane Base,seaplane_base,CA,Hartley Bay,53.416698, -129.25
YZA,Cache Creek-Ashcroft Regional Airport,medium_airport,CA,Cache Creek,50.775258, -121.321314
ZEL,Bella Bella (Campbell Island) Airport,medium_airport,CA,Bella Bella,52.185001, -128.156994
CBC,Cherrabun Airport,small_airport,AU,,-18.917777777800005, 125.537777778
YPB,Alberni Valley Regional Airport,small_airport,CA,Port Alberni,49.321899, -124.931
YBO,Bob Quinn Lake Airport,small_airport,CA,Bob Quinn Lake,56.966702, -130.25
TNS,Tungsten (Cantung) Airport,small_airport,CA,Tungsten,61.956901550293, -128.20300292969
TUX,Tumbler Ridge Airport,small_airport,CA,Tumbler Ridge,55.025001525879, -120.93499755859
YWM,Williams Harbour Airport,small_airport,CA,Williams Harbour,52.567377, -55.784883
YSO,Postville Airport,small_airport,CA,Postville,54.9105, -59.78507
YBI,Black Tickle Airport,small_airport,CA,Black Tickle,53.469836, -55.787501
